rev_name,artist,rev_art_score
minna zhou ,mikael seifu,7.4
molly beauchemin,paper days,6.68
mosi reeves,saul williams,6.93333333333333
natalie moore,hope of the states,5.7
nate patrin,massive attack,7.04149855907781
nate patrin ,exile,5.6
nathan humpal,esmerine,7.5
nathan reese,flume,6.96470588235294
nathan rooney,various artists,6.91538461538462
ned raggett,ancient warfare,7.72083333333333
neil lieberman,luna,6.52727272727273
neil robertson,peggy honeywell,6.48333333333333
nelson george,prince,10.0
nicholas b. sylvester,dudley perkins,6.80833333333333
nick mirov,julie doiron,6.91764705882353
nick neyland,mueller & roedelius,6.84407582938389
nick sylvester,man man,6.6568
nina corcoran,abi reimold,7.31666666666667
nina mashurova,flasher,7.2
nitsuh abebe,interpol,7.36319444444444
noah sutcliffe,reggie and the full effect,5.3
oliver lache,no-neck blues band,5.6
p.j. gallagher,my favorite,8.0
pat healy,d.a.r.k.,6.61111111111111
patric fallon,sepalcure,6.78
patrick bowman,celestial shore,6.475
patrick sisson,prefuse 73/jaytram/epstein,6.75384615384615
patrick sisson ,various artists,6.9
patrick st. michel,various artists,7.06956521739131
paul a. thompson,j. cole,7.31052631578948
paul cooper,low res,6.81583333333334
paul thompson,monster rally,6.66801801801801
paula mejia,cold beat,7.4
pete nicholson,archers of loaf,7.65
peter macia,nas,6.77
philip shelley,freakwater,7.53333333333333
philip sherburne,senyawa,7.56555023923445
philip sherburne ,julianna barwick,8.2
philip welsh,28th day,8.6
piotr orlov,crooked man,7.16666666666667
pj gallagher,zoot woman,7.5
puja patel,autre ne veut,6.55
quinn moreland,jay som,7.53125
rachael maddux,laura marling,7.185
rachel khong,silversun pickups,6.65
rawiya kameir,ludacris,5.3
ray suzuki,jet,4.85
raymond cummings,uniform,7.44285714285714
rebecca haithcoat,the-dream,6.77777777777778
rebecca raber,gospel music,6.89285714285714
renato pagnani,gucci mane,6.91363636363636
richard m. juzwiak,the lucksmiths,6.50476190476191
rob harvilla,the black keys,6.73333333333333
rob mitchum,neil young,6.39288389513108
robbie mackey,ancestors,6.2
robert ham,eric bachmann,6.95
rohan samarth,told slant,7.4
rollie pemberton,mighty casey,6.68301886792453
rollie pemberton & nick sylvester,madvillain,9.4
ron hart,ben watt,7.38
roque strew,blank dogs,7.09111111111111
ruth saxelby,egyptrixx,7.48666666666667
ryan dombal,jeff buckley,6.96436781609196
ryan kearney,"jack logan, bob kimbell",6.70434782608696
ryan leas,jim james,6.55
ryan schreiber,grizzly bear,7.06588235294118
ryan schreiber & alison fields,paul westerberg,7.7
s. murray,blonde redhead,7.14166666666667
saby reyes kulkarni,helmet,6.8
saby reyes-kulkarni,blessed initiative,7.16481481481482
safy-hallan farah,jill scott,7.13333333333333
sam chennault,hangar 18,7.06956521739131
sam eccleston,deltron 3030,7.45
sam hockley-smith,chester watson,7.14285714285714
sam lefebvre,jealousy,7.22307692307692
sam sodomsky,worm ouroboros,7.29285714285714
sam ubl,adem,6.9
samir khan,vue,6.65
sara sherr,debbie harry,7.0
sarah sahim,foxes,6.4
sarah zupko,the chemical brothers,7.6
sasha geffen,air waves,6.95238095238095
savy reyes-kulkarni,pantera,7.7
scott hreha,madlib,7.43846153846154
scott plagenhoef,"tyler, the creator",7.66910569105691
sean fennessey,wiz khalifa,6.94237288135593
sean fennessy,ty segall,8.3
sean t. collins,underworld,8.1
seth colter walls,elder ones,7.72413793103448
seth colter-walls,ray charles,9.0
shan fowler,the mendoza line,6.66666666666667
sheldon pearce,run the jewels,6.95087719298246
sheldon pearce ,"lil wayne, 2 chainz",6.8
simon goddard,abba,8.6
simon reynolds,public image ltd,8.85
spencer owen,sisterhood of convoluted thinkers,6.97407407407408
stacey anderson,leonard cohen,6.41818181818182
stephen  m. deusner,willie nelson,3.8
stephen deusner,j mascis,6.95625
stephen haag,drive-by truckers,7.05
stephen m. deusner,various artists,6.97241379310345
stephen m. duesner,martha wainwright,7.8
stephen may,lou reed,6.5
stephen thomas erlewine,otis redding,8.31818181818182
stephen trouss,ellie goulding,7.13684210526316
steven byrd,superdrag,5.6625
steven hyden,guided by voices,6.68181818181818
"stosh ""piz"" piznarski",skert!,7.7
stuart berman,the rolling stones,7.08921348314606
t. cole rachel,grace jones,7.12307692307692
tal rosenberg,floored by four,7.10769230769231
tayler montague,mac miller,7.3
taylor m. clark,cursive,7.07692307692308
tess duncan,jessie jones,7.07142857142857
the pitchfork staff,jay z,8.0
thea ballard,steven warwick,7.26363636363636
tim finney,years & years,7.38850574712644
timmhotep aku,audio push,7.1
tom breihan,big business,6.74663461538461
tom ewing,primal scream,7.37317073170732
vanessa okoth-obbo,various artists,6.78571428571429
vish khanna,slim twig,7.55
will bryant,bettie serveert,6.05833333333333
will dukes,georgia anne muldrow,6.9
william bowers,pop levi,7.01085271317829
william morris,matthew sweet,6.47096774193549
winston cook-wilson,randy newman,7.33181818181818
yancey strickler,the jim yoshii pile-up,7.1
zach baron,lou reed,6.8752808988764
zach hammerman,bis,7.5
zach hooker,the mountain goats,7.3
zach kelly,fidlar,6.60130718954249
zach vowell,meow meow,7.1
zoe camp,krallice,6.78840579710145
