Group,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Guns N' Roses,,,,,,,,,,,,,,,,,,,,983573.0,0.0,0.0,993625.0,1157038.0,1306822.0,1257035.0,1085948.0,969457.0,0.0,,,,,,,,,,,,,,,
Metallica,,,,,,,,,,,,,,,,,,,,,1021286.0,988849.0,1160085.0,1708413.0,1352265.0,1238884.0,1184837.0,1130693.0,1076906.0,1014314.0,0.0,,,,,,,,,,,,,
Garth Brooks,,,,,,,,,,,,,,,,,,,,,,,855639.0,1229735.0,1471277.0,1656334.0,1828599.0,1842989.0,1775690.0,1710513.0,1642167.0,1595077.0,1563182.0,1530026.0,1495875.0,1462652.0,1428523.0,1393893.0,1360490.0,0.0,,,,
Nirvana,,,,,,,,,,,,,,,,,,,,,,,,1099421.0,1067314.0,1091860.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Mariah Carey,,,,,,,,,,,,,,,,,,,,,,,,,1135609.0,1909716.0,1364295.0,2095445.0,1625358.0,1771555.0,1928509.0,2065998.0,1973449.0,1775125.0,1582996.0,1546554.0,1590299.0,1634686.0,1676824.0,1726081.0,1769392.0,0.0,,
Eric Clapton,,,,,,,,,,,,,,,,,,,,,,,,,897556.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Celine Dion,,,,,,,,,,,,,,,,,,,,,,,,,,1561711.0,1004878.0,1498103.0,2973920.0,2023775.0,1914670.0,2051154.0,1519984.0,1372356.0,1230572.0,1101299.0,1089988.0,0.0,,,,,,
Backstreet Boys,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344243.0,2428286.0,2691666.0,2193096.0,2573913.0,1353803.0,0.0,,,,,,,,,,
Shania Twain,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379450.0,1512939.0,1487903.0,1069008.0,0.0,,,,,,,,,,,,
Eminem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340400.0,1856849.0,2917614.0,3728336.0,3090227.0,3767339.0,3110720.0,3278652.0,3430766.0,3371819.0,3182727.0,2994937.0,2745710.0,3700691.0,2884490.0
Britney Spears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810986.0,1703267.0,1883324.0,1563047.0,1485157.0,1409385.0,1331546.0,1252565.0,0.0,,,,,
Jay-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064644.0,1212626.0,1366457.0,1524905.0,1679045.0,1827151.0,1837309.0,1780112.0,1713250.0,0.0,,,
Christina Aguilera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424795.0,0.0,,,,,,,,,,,
Lil Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055627.0,1366457.0,1586898.0,1747304.0,1898524.0,1866378.0,1748480.0,0.0,,,,
Linkin Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589382.0,1253608.0,1180295.0,1108975.0,1035710.0,0.0,,,,,,
Maroon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063029.0,1190072.0,1320581.0,1453005.0,1576447.0,1688578.0,1764950.0,0.0,,
Rihanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2152092.0,3351520.0,4820580.0,5834441.0,5864017.0,5455772.0,5052956.0
Coldplay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1417462.0,0.0,,,,,
Kanye West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331325.0,1523348.0,1758538.0,1954314.0,2189480.0,2483593.0,2777186.0
Beyoncé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1188127.0,1287090.0,0.0,,,,
Chris Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406181.0,1765452.0,2007069.0,2230136.0,2488049.0,2798175.0
Taylor Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399264.0,2251899.0,2799507.0,3255871.0,3775143.0,4293498.0
Flo Rida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908921.0,2045823.0,3160844.0,2287400.0,0.0
Katy Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1663198.0,2051289.0,2157545.0,0.0,
Lady Gaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2091870.0,3151747.0,2683391.0,2848614.0,2810731.0
