s_name,s_artist,s_energy,s_genre
Man in the Box,Alice In Chains,0.765,Alternative
Never Fade,Alice In Chains,0.94,Alternative
No Excuses,Alice In Chains,0.838,Alternative
Nutshell,Alice In Chains,0.562,Rock
"Nutshell - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,0.548,Alternative
"Over Now - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,0.502,Alternative
Rain When I Die,Alice In Chains,0.86,Alternative
Rainier Fog,Alice In Chains,0.909,Alternative
Red Giant,Alice In Chains,0.845,Alternative
Right Turn,Alice In Chains,0.318,Alternative
Rooster,Alice In Chains,0.551,Alternative
"Rooster - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,0.329,Alternative
Rotten Apple,Alice In Chains,0.637,Alternative
Shame In You,Alice In Chains,0.597,Alternative
Sickman,Alice In Chains,0.912,Alternative
"Sludge Factory - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,0.507,Alternative
The One You Know,Alice In Chains,0.772,Alternative
Voices,Alice In Chains,0.751,Alternative
Would?,Alice In Chains,0.832,Alternative
Your Decision,Alice In Chains,0.63,Alternative
Lash Out,Alice Merton,0.77,Rock
Hurry On Now (feat. TM Juke),Alice Russell,0.442,Jazz
Doesn't Mean Anything,Alicia Keys,41.0,hip pop
Empire State of Mind (Part II) Broken Down,Alicia Keys,37.0,hip pop
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,81.0,hip pop
It's On Again - Main Soundtrack,Alicia Keys,54.0,hip pop
Try Sleeping with a Broken Heart,Alicia Keys,82.0,hip pop
We Are Here,Alicia Keys,67.0,hip pop
Courage,Alien Ant Farm,0.978,Alternative
Movies,Alien Ant Farm,0.919,Alternative
Wish,Alien Ant Farm,0.924,Alternative
Can I,Alina Baraz,0.536,Alternative
Can I - Tez Cadey Remix,Alina Baraz,0.456,Alternative
Electric (Marian Hill Remix),Alina Baraz,0.406,Alternative
Feels Right,Alina Baraz,0.592,Alternative
Floating (feat. Khalid),Alina Baraz,0.447,Alternative
Floating (feat. Khalid) [filous Remix],Alina Baraz,0.614,Alternative
I Don't Even Know Why Though,Alina Baraz,0.505,Alternative
Maybe,Alina Baraz,0.557,Alternative
The One (feat. Jada),Alina Baraz,0.396,Alternative
Unfold,Alina Baraz,0.501,Alternative
Always,Alisa Takigawa,0.723,Anime
Season,Alisa Takigawa,0.952,Anime
Wagamama,Alisa Takigawa,0.822,Anime
"Sonata in B Minor for Solo Cello, Op. 8 (Bonus Track)",Alisa Weilerstein,0.224,Classical
Baby Mine,Alison Krauss,0.218,Country
"Baby, Now That I've Found You",Alison Krauss,0.239,Country
"Down To The River To Pray - From “O Brother, Where Art Thou” Soundtrack",Alison Krauss,0.166,Country
Already Gone,Alison Wonderland,0.579,Electronic
Awake,Alison Wonderland,0.635,Electronic
Awake - KRANE Remix,Alison Wonderland,0.765,Electronic
Carry On,Alison Wonderland,0.92,Electronic
Church - Naderi Remix,Alison Wonderland,0.734,Electronic
Church - Party Pupils Remix,Alison Wonderland,0.721,Electronic
Cold,Alison Wonderland,0.785,Electronic
Cry - Bleep Bloop Remix,Alison Wonderland,0.857,Electronic
Cry - Sunny Norway Remix,Alison Wonderland,0.653,Electronic
Easy,Alison Wonderland,0.668,Electronic
Easy - Billon Remix,Alison Wonderland,0.739,Electronic
Get Ready - Tasker & Leaderboy Remix,Alison Wonderland,0.681,Electronic
Here 4 U - Alison Wonderland x BLESSUS,Alison Wonderland,0.702,Electronic
High,Alison Wonderland,0.594,Electronic
High - QUIX & Enschway Remix,Alison Wonderland,0.608,Electronic
I Want U - DJ Hoodboi Remix,Alison Wonderland,0.834,Electronic
Messiah (Alison Wonderland x M-Phazes),Alison Wonderland,0.655,Electronic
Messiah - Lido Remix,Alison Wonderland,0.683,Electronic
No - Paces Remix,Alison Wonderland,0.847,Electronic
Okay,Alison Wonderland,0.555,Electronic
Run,Alison Wonderland,0.779,Electronic
Sometimes Love - Alison Wonderland x SLUMBERJACK / ORIENTAL CRAVINGS Remix,Alison Wonderland,0.951,Electronic
Space,Alison Wonderland,0.653,Electronic
Take It To Reality,Alison Wonderland,0.828,Electronic
Take It To Reality - R I T U A L Remix,Alison Wonderland,0.421,Electronic
U Don't Know - Just A Gent Remix,Alison Wonderland,0.645,Electronic
U Don't Know - Slander Remix,Alison Wonderland,0.677,Electronic
U Don't Know - Vincent Remix,Alison Wonderland,0.77,Electronic
U Don’t Know,Alison Wonderland,0.707,Electronic
Everything’s Wrong,All That Remains,0.971,Alternative
For You,All That Remains,0.85,Alternative
Fuck Love,All That Remains,0.951,Rap
Hold On,All That Remains,0.949,Alternative
Madness,All That Remains,0.872,Rap
The Air That I Breathe,All That Remains,0.958,Alternative
The Last Time,All That Remains,0.96,Alternative
The Thunder Rolls - Cover,All That Remains,0.889,Rap
This Calling,All That Remains,0.986,Alternative
This Probably Won’t End Well,All That Remains,0.921,Alternative
Two Weeks,All That Remains,0.941,Alternative
What If I Was Nothing,All That Remains,0.772,Rap
3/05/2007,All Them Witches,0.569,Blues
Alabaster,All Them Witches,0.887,Blues
Blood And Sand / Milk And Endless Waters,All Them Witches,0.789,Blues
Bulls,All Them Witches,0.596,Blues
Call Me Star,All Them Witches,0.422,Blues
Fishbelly 86 Onions,All Them Witches,0.839,Blues
Half-Tongue,All Them Witches,0.593,Blues
Harvest Feast,All Them Witches,0.448,Blues
Internet,All Them Witches,0.567,Blues
Swallowed By The Sea,All Them Witches,0.625,Blues
The Death Of Coyote Woman,All Them Witches,0.588,Blues
When God Comes Back,All Them Witches,0.937,Blues
Workhorse,All Them Witches,0.538,Blues
Backseat Serenade,All Time Low,0.964,Rock
Damned If I Do Ya (Damned If I Don't),All Time Low,0.902,Rock
"Dear Maria, Count Me In",All Time Low,0.896,Rock
Dirty Laundry,All Time Low,0.751,Rock
Good Times,All Time Low,0.887,Rock
Missing You,All Time Low,0.731,Rock
Therapy,All Time Low,0.713,Rock
Weightless,All Time Low,0.923,Rock
Fuck My Enemies,Allan Kingdom,0.644,Hip-Hop
H.O.L.Y.,Alle Farben,0.645,Rap
Down from the Mountain,Allen Lande,0.982,Classical
A Blue Mood,Allen Toussaint,0.215,Blues
Cast Your Fate To The Wind,Allen Toussaint,0.411,Blues
Last Train - Remastered Version,Allen Toussaint,0.781,Blues
On Your Way Down - Remastered Version,Allen Toussaint,0.524,Blues
Soul Sister - Remastered Version,Allen Toussaint,0.507,Blues
Sweet Touch Of Love,Allen Toussaint,0.79,Blues
Worldwide - Remastered Version,Allen Toussaint,0.518,Blues
Yes We Can Can,Allen Toussaint,0.626,Blues
In Your Midst,Allie Paige,0.305,Alternative
And All the Stars Above Us Will Remember,Ally Kerr,0.252,Anime
Someone's Got a Crush on Me,Ally Kerr,0.57,Anime
Addicted To Pain,Alter Bridge,0.991,Alternative
Find The Real,Alter Bridge,0.932,Alternative
In Loving Memory,Alter Bridge,0.634,Alternative
Watch Over You,Alter Bridge,0.691,Alternative
In the Moment,Althea Rene,0.571,Jazz
Sunday Cruise,Althea Rene,0.582,Jazz
Burst the Gravity,Altima,0.999,Anime
I'll Believe,Altima,0.953,Anime
Indefinitely,Altima,0.966,Anime
One,Altima,0.994,Anime
Motel Blues,Alvin Lee,0.31,Blues
Big Mama's Door,Alvin Youngblood Hart,0.195,Blues
Motivational Speaker,Alvin Youngblood Hart,0.849,Blues
Adult Diversion,Alvvays,0.948,Rock
Dreams Tonite,Alvvays,0.622,Rock
In Undertow,Alvvays,0.69,Rock
Not My Baby,Alvvays,0.644,Rock
Canadian Dubai,Always Never,0.519,Alternative
It's Over,Always Never,0.451,Alternative
Millions,Always Never,0.439,Alternative
Tragedy,Always Never,0.485,Alternative
Wylin',Always Never,0.489,Alternative
Rescue,Alysha Brilla,0.518,Blues
Ark,Amatsuki,0.939,Anime
StarMan!!!,Amatsuki,0.961,Anime
スターライトキセキ,Amatsuki,0.941,Anime
君の知らない物語,Amatsuki,0.881,Anime
恋人募集中(仮),Amatsuki,0.853,Anime
Outrageous,Amber Lawrence,0.778,Country
Love Is Stronger Than Pride,Amber Mark,0.662,Alternative
Mixer,Amber Mark,0.742,Alternative
Hide & Seek,Amber Run,0.452,Rock
Vartha,Ambrose Akinmusire,0.502,Jazz
Biggest Part Of Me (45 Version),Ambrosia,0.416,Rock
Biggest Part of Me,Ambrosia,0.723,Country
How Much I Feel,Ambrosia,0.573,Country
How Much I Feel (45 Version),Ambrosia,0.333,Rock
You're the Only Woman - You & I,Ambrosia,0.516,Country
A Horse with No Name,America,0.506,Country
All My Life,America,0.337,Country
I Need You,America,0.472,Rock
Sister Golden Hair,America,0.547,Country
Tin Man,America,0.531,Country
Ventura Highway,America,0.581,Country
You Can Do Magic,America,0.568,Rock
Best Day Of My Life,American Authors,0.902,Rap
Calm Me Down,American Authors,0.836,Rock
Deep Water,American Authors,0.626,Rap
Go Big Or Go Home,American Authors,0.87,Rock
Luck,American Authors,0.804,Rock
Neighborhood,American Authors,0.578,Rock
Pocket Full Of Gold,American Authors,0.948,Rock
Pride,American Authors,0.87,Rock
Say Amen,American Authors,0.64,Rock
Stay Around,American Authors,0.905,Rap
What We Live For,American Authors,0.902,Rap
Uncomfortably Numb (feat. Hayley Williams),American Football,0.768,Alternative
Flavor Of The Weak,American Hi-Fi,0.959,Rock
Part of Me,American Wolves,0.936,Rock
Love Is War - Radio Mix,American Young,0.564,Country
1 Thing,Amerie,0.946,Alternative
Dahmer Does Hollywood,Amigo the Devil,0.431,Country
For a Few Good Men,Amigo the Devil,0.336,Country
Hell and You,Amigo the Devil,0.327,Country
Perfect Wife,Amigo the Devil,0.667,Country
The Recluse,Amigo the Devil,0.468,Country
The Weight,Amigo the Devil,0.812,Country
"La Gioconda / Act 2: ""Cielo e mar""",Amilcare Ponchielli,0.203,Classical
La Gioconda / Act 3: Dance Of The Hours,Amilcare Ponchielli,0.00761,Classical
BLACKJACK (feat. YBN Cordae) - Remix,Aminé,0.583,Rap
Beach Boy,Aminé,0.41,Hip-Hop
Blinds,Aminé,0.45,Hip-Hop
CHINGY,Aminé,0.495,Rap
Caroline,Aminé,0.335,Hip-Hop
DAPPERDAN (feat. G Herbo),Aminé,0.528,Rap
DR. WHOEVER,Aminé,0.332,Hip-Hop
Hero,Aminé,0.436,Hip-Hop
Invincible,Aminé,0.6,Hip-Hop
REDMERCEDES,Aminé,0.636,Hip-Hop
REEL IT IN,Aminé,0.342,Hip-Hop
REEL IT IN (feat. Gucci Mane) - Remix,Aminé,0.355,Rap
SHINE,Aminé,0.517,Rap
STFU,Aminé,0.548,Rap
STFU2,Aminé,0.54,Rap
SUGARPARENTS (feat. Rico Nasty),Aminé,0.646,Rap
Slide,Aminé,0.568,Rap
Spice Girl,Aminé,0.464,Rap
Sundays,Aminé,0.409,Hip-Hop
TOGETHER,Aminé,0.375,Hip-Hop
Turf,Aminé,0.413,Hip-Hop
Veggies,Aminé,0.465,Hip-Hop
WHY?,Aminé,0.59,Rap
Wedding Crashers,Aminé,0.498,Rap
Yellow,Aminé,0.526,Hip-Hop
Famous,Amir Obe,0.699,Hip-Hop
Took You Seriously,Amir Obe,0.338,Hip-Hop
Bhairavi,Amjad Ali Khan,0.194,Classical
AS A.W.O.L,Amnesia Scanner,0.897,Electronic
AS Too Wrong,Amnesia Scanner,0.817,Electronic
Fafner's Gold,Amon Amarth,0.948,Alternative
"Mjölner, Hammer of Thor",Amon Amarth,0.974,Alternative
The Pursuit Of Vikings,Amon Amarth,0.967,Alternative
At The End Of The Day,Amon Tobin,0.78,Jazz
Bloodstone,Amon Tobin,0.365,Electronic
Bridge,Amon Tobin,0.815,Jazz
Clear Skys,Amon Tobin,0.669,Electronic
Mighty Micro People,Amon Tobin,0.709,Electronic
Nightlife,Amon Tobin,0.548,Electronic
Nova,Amon Tobin,0.361,Electronic
On a Hilltop Sat the Moon,Amon Tobin,0.383,Electronic
Slowly,Amon Tobin,0.637,Electronic
Faith,Amp Fiddler,0.708,Jazz
Return of the Ghetto Fly,Amp Fiddler,0.504,Jazz
Slippin on Ya Pimpin,Amp Fiddler,0.696,Jazz
Through Your Soul,Amp Fiddler,0.491,Jazz
"Baby, Baby",Amy Grant,0.901,Rock
Impulse,An Endless Sporadic,0.763,Jazz
Sun of Pearl,An Endless Sporadic,0.866,Jazz
Blues for Mrs. Pauline / Leave My Boy Alown,Ana Popovic,0.752,Blues
Fencewalk,Ana Popovic,0.789,Blues
Lives That Don't Exist,Ana Popovic,0.92,Blues
She Was a Doorman,Ana Popovic,0.897,Blues
Feel Good Drag,Anberlin,0.861,Alternative
Paperthin Hymn,Anberlin,0.597,Rock
The Feel Good Drag,Anberlin,0.677,Alternative
Break My Heart in 2,Ancient Astronauts,0.857,Jazz
Poetic Occupation,Ancient Astronauts,0.709,Jazz
Risin High,Ancient Astronauts,0.714,Jazz
Still a Soldier,Ancient Astronauts,0.856,Jazz
Fantasy's Wings,Ancient Bards,0.916,Classical
Through My Veins,Ancient Bards,0.982,Classical
Fields Of Honey,Anders Osborne,0.465,Blues
Flower Box,Anders Osborne,0.708,Blues
Ho-Di-Ko-Di-Ya-La-Ma-La,Anders Osborne,0.721,Blues
I'm Ready,Anders Osborne,0.444,Blues
Mind Of A Junkie,Anders Osborne,0.594,Blues
Move Back To Mississippi,Anders Osborne,0.455,Blues
Pontchartrain,Anders Osborne,0.038,Blues
Running,Anders Osborne,0.885,Blues
Windows,Anders Osborne,0.809,Blues
All I'll Ever Need,Anderson East,0.509,Blues
All On My Mind,Anderson East,0.788,Blues
All On My Mind - Acoustic,Anderson East,0.487,Blues
All On My Mind - Recorded at Sound Stage Nashville,Anderson East,0.699,Blues
All On My Mind - Single Version,Anderson East,0.745,Blues
Cabinet Door,Anderson East,0.222,Blues
Devil In Me,Anderson East,0.538,Blues
Devil in Me,Anderson East,0.688,Blues
"Find 'Em, Fool 'Em and Forget 'Em",Anderson East,0.89,Blues
Girlfriend,Anderson East,0.917,Blues
House Is A Building,Anderson East,0.448,Blues
If You Keep Leaving Me,Anderson East,0.527,Blues
Keep the Fire Burning,Anderson East,0.78,Blues
King For A Day,Anderson East,0.713,Blues
Lonely,Anderson East,0.565,Blues
Lying in Her Arms,Anderson East,0.473,Blues
Only You,Anderson East,0.87,Blues
"Other Side of Love (From the Motion Picture ""Second Act"")",Anderson East,0.551,Blues
Somebody Pick Up My Pieces,Anderson East,0.63,Blues
Sorry You're Sick,Anderson East,0.814,Blues
Surrender,Anderson East,0.956,Blues
This Too Shall Last - Stripped,Anderson East,0.4,Blues
Without You,Anderson East,0.561,Blues
Billie Jean (arr. G. Anderson and E. J. Roe),Anderson and Roe,0.198,Classical
Ayo For Yayo,Andre Nickatina,0.83,Rap
Tuyo,Andre Rizo,0.788,Electronic
"Alas de Libertad - ""Ali di Libertà"" Spanish Version",Andrea Bocelli,0.303,Classical
Ali di Libertà - Acoustic,Andrea Bocelli,0.198,Classical
Amapola,Andrea Bocelli,0.307,Classical
Amapola - Remastered,Andrea Bocelli,0.371,Classical
Amo Soltanto Te,Andrea Bocelli,0.25,Classical
Angels We Have Heard On High,Andrea Bocelli,0.389,Classical
Angels We Have Heard on High,Andrea Bocelli,0.374,Classical
Ave María,Andrea Bocelli,0.412,Classical
Can't Help Falling In Love - Live At Lake Las Vegas/2005,Andrea Bocelli,0.399,Classical
Canzoni stonate,Andrea Bocelli,0.474,Classical
Caro gesu bambino,Andrea Bocelli,0.193,Classical
"Cheek To Cheek - From ""Top Hat""",Andrea Bocelli,0.366,Classical
Con Te Partirò,Andrea Bocelli,0.367,Classical
Con Te Partirò - 2016 Version / Bonus Track,Andrea Bocelli,0.376,Classical
Dell' amore non si sa,Andrea Bocelli,0.326,Classical
Dormi Dormi,Andrea Bocelli,0.325,Classical
"Duerme Duerme - ""Dormi Dormi"" Spanish Version",Andrea Bocelli,0.251,Classical
"E più ti penso - From ""Once Upon A Time In America""",Andrea Bocelli,0.151,Classical
El Primer Beso,Andrea Bocelli,0.414,Classical
Era Ya Todo Previsto,Andrea Bocelli,0.395,Classical
Era già tutto previsto - Live,Andrea Bocelli,0.382,Classical
Estate,Andrea Bocelli,0.358,Classical
Fall On Me,Andrea Bocelli,0.149,Classical
Fall On Me - English Mix,Andrea Bocelli,0.282,Classical
Fall On Me - Italian Version,Andrea Bocelli,0.198,Classical
"Gloria Por La Vida - ""Gloria The Gift Of Life"" Spanish Version",Andrea Bocelli,0.389,Classical
God Bless Us Everyone,Andrea Bocelli,0.523,Classical
I Believe,Andrea Bocelli,0.285,Classical
If Only - Mandarin Version,Andrea Bocelli,0.289,Classical
Il mare calmo della sera - 2016 Version / Bonus Track,Andrea Bocelli,0.431,Classical
Io Ci Saro,Andrea Bocelli,0.295,Classical
"La chanson de Lara - From ""Dr. Zhivago""",Andrea Bocelli,0.305,Classical
La luna che non c'e,Andrea Bocelli,0.488,Classical
La vie en rose,Andrea Bocelli,0.375,Classical
Love In Portofino,Andrea Bocelli,0.502,Classical
Love Me Tender,Andrea Bocelli,0.242,Classical
"Maria - From ""West Side Story""",Andrea Bocelli,0.226,Classical
Me faltas,Andrea Bocelli,0.367,Classical
Meditation,Andrea Bocelli,0.223,Classical
Melodramma,Andrea Bocelli,0.5,Classical
Miserere - Live At Night Of The Proms,Andrea Bocelli,0.643,Classical
"Moon River - Live From Spotify, NYC / 2015",Andrea Bocelli,0.46,Classical
"Nelle tue mani (Now We Are Free) - From ""Gladiator""",Andrea Bocelli,0.537,Classical
"No Llores Por Mi Argentina - From ""Evita""",Andrea Bocelli,0.162,Classical
O tannenbaum,Andrea Bocelli,0.279,Classical
Perfidia,Andrea Bocelli,0.45,Classical
Pero Te Extraño,Andrea Bocelli,0.453,Classical
Porque Tu Me Acostumbraste,Andrea Bocelli,0.53,Classical
"Quizàs, Quizàs, Quizàs - Live In Italy / 2013",Andrea Bocelli,0.379,Classical
Roma nun fa' la stupida stasera - Live,Andrea Bocelli,0.539,Classical
Sempre sempre,Andrea Bocelli,0.462,Classical
Sogno - Extended Version,Andrea Bocelli,0.398,Classical
Somos Novios,Andrea Bocelli,0.44,Classical
"Strangers In The Night - Live From Spotify, NYC / 2015",Andrea Bocelli,0.626,Classical
The Christmas Song,Andrea Bocelli,0.314,Classical
This Is The Only Time - Radio Version,Andrea Bocelli,0.28,Classical
Tu Eres Mi Tesoro - “If Only” Spanish Version,Andrea Bocelli,0.223,Classical
Un Amore Così Grande - Remastered,Andrea Bocelli,0.471,Classical
"Un Reve De Liberté - ""Ali di Libertà"" French Version",Andrea Bocelli,0.304,Classical
Un'Anima,Andrea Bocelli,0.346,Classical
Ven a Mi,Andrea Bocelli,0.151,Classical
Verano,Andrea Bocelli,0.374,Classical
"Vivo Otra Vez Contigo - ""Vivo"" Spanish Version",Andrea Bocelli,0.308,Classical
Voglio restare cosi,Andrea Bocelli,0.264,Classical
White Christmas,Andrea Bocelli,0.288,Classical
Circles - Sascha Cawa Remix,Andreas Balicki,0.715,Electronic
French Renaissance Lute Branle,Andrei Krylov,0.324,Classical
Irish Dance,Andrei Krylov,0.218,Classical
My Baby Lullaby (Relaxing Classical Guitar Music),Andrei Krylov,0.293,Classical
Spanish Renaissance Lute Gagliarde,Andrei Krylov,0.2,Classical
Worried Woman,Andrew Cyrille,0.187,Jazz
Cecilia And The Satellite,Andrew McMahon in the Wilderness,0.844,Rock
High Dive,Andrew McMahon in the Wilderness,0.799,Rock
Paper Rain,Andrew McMahon in the Wilderness,0.932,Rock
So Close,Andrew McMahon in the Wilderness,0.905,Rock
Dancing In The Minefields,Andrew Peterson,0.497,Alternative
Home,Andrew York,0.0827,Classical
Pavane Pour Une Infante Défunte,André Laplante,0.00667,Classical
Une Barque Sur L'océan from Miroirs,André Laplante,0.113,Classical
À La Manière De Borodine,André Laplante,0.0744,Classical
Ascot Gavotte - Voice,André Previn,0.096,Classical
Get Me To The Church On Time - Voice,André Previn,0.268,Classical
Intermission* - Instrumental,André Previn,0.114,Classical
On The Street Where You Live (reprise)* - Voice,André Previn,0.248,Classical
Overture - Instrumental,André Previn,0.304,Classical
Servants' Chorus* - Voice,André Previn,0.0833,Classical
"Swan Lake, Op.20: 1. Introduction",André Previn,0.09,Classical
That's Where The South Begins,André Previn,0.103,Classical
That's Where the West Begins,André Previn,0.0555,Classical
The Flowermarket* - Instrumental,André Previn,0.261,Classical
Donde manda marinero,Andrés Calamaro,0.77,Alternative
Flaca,Andrés Calamaro,0.745,Alternative
Te quiero igual,Andrés Calamaro,0.884,Rock
Aria detta la Frescobalda (arr. A. Segovia for guitar),Andrés Segovia,0.0983,Classical
Asturia,Andrés Segovia,0.372,Classical
"Danza Española No. 5 en Mi Menor, Op. 37",Andrés Segovia,0.0139,Classical
Estudio sin luz,Andrés Segovia,0.0534,Classical
"Keyboard Suite No. 4 in D Minor, HWV 437: III. Saraband (arr. A. Segovia for guitar): Suite No. 4 in D Minor, HWV 437: III. Saraband (arr. A. Segovia)",Andrés Segovia,0.092,Classical
"Suite espanola No. 1, Op. 47: No. 5. Asturias (arr. A. Segovia)",Andrés Segovia,0.252,Classical
"Suite española No. 1, Op.47 (1988 Digital Remaster): Granada",Andrés Segovia,0.0444,Classical
Can't Force Love,Andy Frasco & the U.N.,0.443,Blues
Smoking Dope n Rock n Roll,Andy Frasco & the U.N.,0.737,Blues
An Everlasting Love,Andy Gibb,0.685,Country
I Just Want To Be Your Everything,Andy Gibb,0.656,Rock
Shadow Dancing,Andy Gibb,0.6,Country
Back Home,Andy Grammer,0.827,Rap
"Don't Give Up On Me - (From ""Five Feet Apart"")",Andy Grammer,0.537,Rap
Fine By Me,Andy Grammer,0.791,Rap
Good To Be Alive (Hallelujah),Andy Grammer,0.896,Rock
Smoke Clears,Andy Grammer,0.81,Rap
If Heaven,Andy Griggs,0.365,Country
She Thinks She Needs Me,Andy Griggs,0.568,Country
You Won't Ever Be Lonely,Andy Griggs,0.617,Country
'85,Andy James,0.878,Classical
Angel of Darkness,Andy James,0.975,Classical
Asylum,Andy James,0.956,Classical
Equinox,Andy James,0.917,Classical
Ever After,Andy James,0.927,Classical
Gone,Andy James,0.837,Classical
Never Back Down,Andy James,0.933,Classical
Shattered and Broken,Andy James,0.91,Classical
...Lost,Andy Mineo,0.426,Hip-Hop
...There,Andy Mineo,0.599,Hip-Hop
Coming In Hot,Andy Mineo,0.454,Hip-Hop
Crazy,Andy Mineo,0.621,Hip-Hop
Family Photo,Andy Mineo,0.393,Hip-Hop
Friends,Andy Mineo,0.664,Hip-Hop
I Ain't Done,Andy Mineo,0.533,Hip-Hop
None of My Business,Andy Mineo,0.666,Hip-Hop
Uno Uno Seis,Andy Mineo,0.905,Hip-Hop
You Can't Stop Me feat. Messiah - Remix,Andy Mineo,0.811,Hip-Hop
You Cant Stop Me,Andy Mineo,0.826,Hip-Hop
Casi Te Envidio,Andy Montañez,0.567,Jazz
Payaso,Andy Montañez,0.494,Jazz
Un Verano En Nueva York,Andy Montañez,0.657,Jazz
Luxury Problems,Andy Stott,0.53,Electronic
New Romantic,Andy Stott,0.625,Electronic
Violence,Andy Stott,0.214,Electronic
Cry for You,Andy Timmons,0.726,Classical
Electric Gypsy,Andy Timmons,0.644,Classical
On Your Way Sweet Soul,Andy Timmons,0.539,Classical
A Summer Place,Andy Williams,0.239,Jazz
Battle Hymn of the Republic (with The St. Charles Borromeo Choir),Andy Williams,0.214,Jazz
Happy Heart,Andy Williams,0.377,Jazz
Hawaiian Wedding Song,Andy Williams,0.141,Jazz
I'll Never Stop Loving You,Andy Williams,0.221,Jazz
It's the Most Wonderful Time of the Year,Andy Williams,0.598,Jazz
"Moon River (From ""Breakfast at Tiffany's"")",Andy Williams,0.212,Jazz
Sleigh Ride,Andy Williams,0.634,Jazz
The First Noël,Andy Williams,0.233,Jazz
The Impossible Dream (The Quest),Andy Williams,0.398,Jazz
"The Shadow of Your Smile (Love Theme from ""The Sandpiper"")",Andy Williams,0.199,Jazz
Try to Remember,Andy Williams,0.244,Jazz
"Where Do I Begin - Love Theme from ""Love Story""",Andy Williams,0.473,Jazz
You're the Best Thing That Ever Happened to Me - Single Version,Andy Williams,0.407,Jazz
Interiors,Anfa Rose,0.488,Hip-Hop
Substance,Anfa Rose,0.403,Hip-Hop
Want It All,Angel Du$t,0.746,Alternative
Werkin' Girls,Angel Haze,0.876,Hip-Hop
Never Be Mine,Angel Olsen,0.622,Alternative
Shut Up Kiss Me,Angel Olsen,0.63,Rock
Na De Na,Angel Y Khriz,0.888,Hip-Hop
25 Minutes,Angela,0.205,Anime
I Was Born to Love You,Angela,0.158,Anime
Remember Me This Way,Angela,0.246,Anime
She Talks to Angels (feat. Isaiah Sharkey),Angela,0.154,Anime
Annie's Song (Dompierre),"Angele Dubeau, Ensemble Amati, Raymond Dessaints",0.0744,Classical
Valse (Brahms),"Angele Dubeau, Ensemble Amati, Raymond Dessaints",0.0578,Classical
Dance of the Dream Man - Instrumental,Angelo Badalamenti,0.24,Jazz
The Bookhouse Boys - Instrumental,Angelo Badalamenti,0.329,Jazz
The Pink Room,Angelo Badalamenti,0.361,Jazz
Theme From Twin Peaks-Fire Walk With Me,Angelo Badalamenti,0.033,Jazz
Twin Peaks Theme,Angelo Badalamenti,0.191,Jazz
Twin Peaks Theme - Instrumental,Angelo Badalamenti,0.119,Jazz
La Gitane,Angelo DeBarre,0.397,Jazz
Secret Crowds,Angels & Airwaves,0.972,Rock
Sirens,Angels & Airwaves,0.93,Rock
Nova Era,Angra,0.989,Classical
El Colapso,Angélica Negrón,0.317,Classical
My Girls,Animal Collective,0.953,Rock
Air Chrysalis,Animals As Leaders,0.914,Jazz
An Infinite Regression,Animals As Leaders,0.903,Jazz
Another Year,Animals As Leaders,0.866,Jazz
Arithmophobia,Animals As Leaders,0.962,Jazz
Backpfeifengesicht,Animals As Leaders,0.917,Jazz
Cafo,Animals As Leaders,0.94,Jazz
Cognitive Contortions,Animals As Leaders,0.895,Jazz
Crescent,Animals As Leaders,0.985,Jazz
Earth Departure,Animals As Leaders,0.965,Jazz
Inner Assassins,Animals As Leaders,0.841,Jazz
Kalimba - Bonus Track,Animals As Leaders,0.898,Jazz
Lippincott,Animals As Leaders,0.959,Jazz
Mind-Spun,Animals As Leaders,0.987,Jazz
Nephele,Animals As Leaders,0.939,Jazz
On Impulse,Animals As Leaders,0.926,Jazz
Point to Point,Animals As Leaders,0.8,Jazz
Soraya,Animals As Leaders,0.908,Jazz
The Brain Dance,Animals As Leaders,0.811,Jazz
The Future That Awaited Me,Animals As Leaders,0.914,Jazz
The Glass Bridge,Animals As Leaders,0.914,Jazz
The Woven Web,Animals As Leaders,0.935,Jazz
Thoroughly at Home,Animals As Leaders,0.922,Jazz
Tooth and Claw,Animals As Leaders,0.967,Jazz
Weightless,Animals As Leaders,0.868,Jazz
Angel,Anita Baker,0.373,Jazz
Body and Soul - Radio Edit,Anita Baker,0.474,Jazz
Giving You the Best That I Got,Anita Baker,0.447,Jazz
Giving You the Best That I Got - Single Version,Anita Baker,0.542,Jazz
Good Love,Anita Baker,0.581,Jazz
I Apologize - Single Version,Anita Baker,0.509,Jazz
Just Because,Anita Baker,0.598,Jazz
No One In the World,Anita Baker,0.557,Jazz
Will You Be Mine,Anita Baker,0.399,Jazz
Slow,Ann Hampton Callaway,0.237,Jazz
I Feel Like Breaking up Somebody's Home Tonight,Ann Peebles,0.469,Blues
I'm Gonna Tear Your Playhouse Down,Ann Peebles,0.314,Blues
Part Time Love,Ann Peebles,0.457,Blues
Until You Came into My Life,Ann Peebles,0.265,Blues
Night Ferry,Anna Clyne,0.192,Classical
Danny's Song,Anne Murray,0.379,Country
