art_name,art_country
Brenda Lee,Australia
Bobby Helms,Australia
The Ronettes,Australia
Andy Williams,Australia
Band Aid,Australia
Kelly Clarkson,Australia
José Feliciano,Australia
Chris Rea,Australia
SALES,Australia
Shakin' Stevens,Australia
Daryl Hall & John Oates,Australia
The Jackson 5,Australia
Dean Martin,Australia
Nat King Cole,Australia
Paul McCartney,Australia
Kylie Minogue,Australia
Burl Ives,Australia
Chuck Berry,Australia
Vundabar,Australia
Madeline The Person,Australia
My Chemical Romance,Australia
Dream,Australia
Lovejoy,Australia
RealestK,Australia
ABBA,Australia
Charli XCX,Australia
carolesdaughter,Australia
Ryn Weaver,Australia
Gang of Youths,Australia
Morgan Wallen,Australia
Suki Waterhouse,Australia
The Wiggles,Australia
Sadie Jean,Australia
Paul Kelly,Australia
Wizzard,Australia
Stevie Wonder,Australia
Tony Bennett,Australia
Elvis Presley,Australia
Otis Redding,Australia
Ella Fitzgerald,Australia
Leona Lewis,Australia
The Beach Boys,Australia
Britney Spears,Australia
Pretenders,Australia
Boney M.,Australia
SR,Australia
A-Wall,Australia
Bruce Springsteen,Australia
David Campbell,Australia
Amy Grant,Australia
Darlene Love,Australia
Johnny Cash,Australia
Run–D.M.C.,Australia
Human Nature,Australia
U2,Australia
Tom Petty and the Heartbreakers,Australia
Frank Sinatra,Australia
Bailey Zimmerman,Australia
Pharrell Williams,Australia
Lucky Daye,Australia
siouxxie sixxsta,Australia
Demi Lovato,Australia
DUSTY LOCANE,Australia
Backstreet Boys,Australia
Stray Kids,Australia
Machine Gun Kelly,Australia
Celeste,Australia
Neon Trees,Australia
IVE,Australia
Cat Burns,Australia
Australian Crawl,Australia
Daddy Cool,Australia
Hunters & Collectors,Australia
ICEHOUSE,Australia
Peking Duk,Australia
Bernard Fanning,Australia
John Farnham,Australia
Tion Wayne,Australia
Russ Millions,Australia
E1 (3x3),Australia
ZT (3x3),Australia
Bugzy Malone,Australia
Buni,Australia
Fivio Foreign,Australia
Darkoo,Australia
DaBaby,Australia
Daniel Caesar,Australia
Riton,Australia
Nightcrawlers,Australia
Mufasa & Hypeman,Australia
Dopamine,Australia
Joel Corry,Australia
RAYE,Australia
David Guetta,Australia
Anderson .Paak,Australia
Silk Sonic,Australia
Willow Sage Hart,Australia
ATB,Australia
Topic,Australia
A7S,Australia
Wiz Khalifa,Australia
Majestic,Australia
Lil Baby,Australia
24kGoldn,Australia
iann dior,Australia
MNEK,Australia
21 Savage,Australia
Morray,Australia
6LACK,Australia
Keith Urban,Australia
Niall Horan,Australia
Internet Money,Australia
Gunna,Australia
Don Toliver,Australia
NAV,Australia
StarBoi3,Australia
Bradley Cooper,Australia
Trippie Redd,Australia
SAINt JHN,Australia
Imanbek,Australia
Julia Michaels,Australia
Swae Lee,Australia
Chance the Rapper,Australia
MEDUZA,Australia
Dermot Kennedy,Australia
Saweetie,Australia
Marshmello,Australia
Nelly Furtado,Australia
Timbaland,Australia
Sigala,Australia
Cochise,Australia
$NOT,Australia
JP Saxe,Australia
Cordae,Australia
Lil Wayne,Australia
Jawsh 685,Australia
Troye Sivan,Australia
Dan + Shay,Australia
Macklemore & Ryan Lewis,Australia
Macklemore,Australia
Ryan Lewis,Australia
Ray Dalton,Australia
Open Till L8,Australia
Galantis,Australia
Little Mix,Australia
Powfu,Australia
beabadoobee,Australia
Gotye,Australia
Kimbra,Australia
Usher,Australia
Lil Jon,Australia
Ludacris,Australia
Nate Dogg,Australia
Lil Durk,Australia
Travis Barker,Australia
Migos,Australia
Stunna Gambino,Australia
Stormzy,Australia
Blxst,Australia
Tyga,Australia
Ty Dolla $ign,Australia
Cults,Australia
Amber Coffman,Australia
Mustard,Australia
Chris Brown,Australia
JAY-Z,Australia
Day1,Australia
Lost Frequencies,Australia
PNAU,Australia
Tems,Australia
Nicky Youre,Australia
dazy,Australia
347aidan,Australia
SUPER-Hi,Australia
Neeka,Australia
JID,Australia
Arcane,Australia
League of Legends,Australia
Jax Jones,Australia
Luude,Australia
Colin Hay,Australia
Amanda Reifer,Australia
Calvin Harris,Australia
Young Thug,Australia
Brothers,Australia
Joel Fletcher,Australia
Jay Rock,Australia
WizKid,Australia
Kyla,Australia
Flume,Australia
MAY-A,Australia
Daft Punk,Australia
Dido,Australia
Project Pat,Australia
ACRAZE,Australia
Cherish,Australia
Coolio,Australia
L.V.,Australia
Gesaffelstein,Australia
NEIKED,Australia
Mae Muller,Australia
Keri Hilson,Australia
D.O.E.,Australia
Smiley,Australia
THE ANXIETY,Australia
Tyler Cole,Australia
Swedish House Mafia,Australia
Phoebe Bridgers,Australia
Amaarae,Australia
Moliy,Australia
Chris Stapleton,Australia
bbno$,Australia
Rich Brian,Australia
Gary Lightbody,Australia
SwitchOTR,Australia
Russ,Australia
Tamae,Australia
Capella Grey,Australia
Thundercat,Australia
Bootsy Collins,Australia
Bon Iver,Australia
FelixThe1st,Australia
Dréya Mac,Australia
Finch Fetti,Australia
Dj Yo!,Australia
AX'EL,Australia
Carolina Gaitán - La Gaita,Australia
Mauro Castillo,Australia
Adassa,Australia
Rhenzy Feliz,Australia
Diane Guerrero,Australia
Encanto - Cast,Australia
Zendaya,Australia
Sam Tompkins,Australia
Havana Brown,Australia
Teddy Cream,Australia
Dr. Dre,Australia
Snoop Dogg,Australia
Olga Merediz,Australia
YV,Australia
Alicia Keys,Australia
2Pac,Australia
Outlawz,Australia
Kid Cudi,Australia
MGMT,Australia
Ratatat,Australia
Toro y Moi,Australia
Paul Woolford,Australia
Diplo,Australia
Kareen Lomax,Australia
YUNGBLUD,Australia
Rick Ross,Australia
Au/Ra,Australia
A Boogie Wit da Hoodie,Australia
Nathan Evans,Australia
220 KID,Australia
Billen Ted,Australia
Quavo,Australia
Bastille,Australia
benny blanco,Australia
Vera Blue,Australia
Becky Hill,Australia
Goodboys,Australia
DJ Khaled,Australia
Burna Boy,Australia
BEAM,Australia
Fumez The Engineer,Australia
Sava,Australia
OTP,Australia
BM X MINI,Australia
Fleet Foxes,Australia
AnnenMayKantereit,Australia
Giant Rooks,Australia
Tech N9ne,Australia
Joey Cool,Australia
King Iso,Australia
Dwayne Johnson,Australia
Maren Morris,Australia
BROCKHAMPTON,Australia
A$AP Rocky,Australia
A$AP Ferg,Australia
Colbie Caillat,Australia
H.E.R.,Australia
Young Stoner Life,Australia
Aitch,Australia
Ashanti,Australia
venbee,Australia
Dan Fable,Australia
Montaigne,Australia
Tom Thum,Australia
Jung Kook,Australia
YoungBoy Never Broke Again,Australia
The Game,Australia
Mattafix,Australia
Miranda Lambert,Australia
Rex Orange County,Australia
Juicy J,Australia
Flo Rida,Australia
T-Pain,Australia
